110248,Auli,Uttarakhand,UK,India,IN
110349,Aurangabad,Maharashtra,MH,India,IN
110358,Ayodhya,Uttar Pradesh,UP,India,IN
110425,Baratang Island,Andaman & Nicobar,AN,India,IN
110483,Ballari,Karnataka,KA,India,IN
110512,Bardez,Goa,GA,India,IN
110564,Behror,Rajasthan,RJ,India,IN
110566,Bekal,Kerala,KL,India,IN
110618,Betalbatim Beach,Goa,GA,India,IN
110640,Baga,Goa,GA,India,IN
110659,Bakkhali,West Bengal,WB,India,IN
110789,Barbil,Odisha,OR,India,IN
110851,Bandipur,Tamil Nadu,TN,India,IN
110853,Bangaram Island,Lakshadweep,LD,India,IN
110855,Baramati,Maharashtra,MH,India,IN
110977,Balrampur,Uttar Pradesh,UP,India,IN
111009,Bareilly,Uttar Pradesh,UP,India,IN
111028,Basara,Telangana,TG,India,IN
111073,Badami,Karnataka,KA,India,IN
111097,Balasinore,Gujrat,GJ,India,IN
111121,Bandhavgarh-Nationalpark,Madhya Pradesh,MP,India,IN
111124,Bengaluru,Karnataka,KA,India,IN
111142,Barmer,Rajasthan,RJ,India,IN
111195,Bharuch,Gujarat,GJ,India,IN
111196,Bhimtal,Uttarakhand,UK,India,IN
111212,Binsar,Uttarakhand,UK,India,IN
111216,Bishangarh,Rajasthan,RJ,India,IN
111264,Bomdila,Arunachal Pradesh,AP,India,IN
111292,Bhatinda,Punjab,PB,India,IN
111364,Bokkapuram,Tamil Nadu,TN,India,IN
111427,Belagavi,Karnataka,KA,India,IN
111440,Belur & Halebid,Karnataka,KA,India,IN
111484,Bharatpur,Rajasthan,RJ,India,IN
111485,Bhavnagar,Gujarat,GJ,India,IN
111486,Bhogapuram,Andhra Pradesh,AP,India,IN
111499,Bijaipur,Rajasthan,RJ,India,IN
111558,Bhubaneswar,Odisha,OR,India,IN
111574,Bilaspur,Chhattisgarh,CT,India,IN
111655,Benaulim Beach,Benaulim,WB,India,IN
111694,Bhandardara,Maharashtra ,MH,India,IN
111749,Betul,Madhya Pradesh,MP,India,IN
111932,Bhopal,Madhya Pradesh,MP,India,IN
111949,Vijapura,Karnataka,KA,India,IN
112228,Bokaro,Jharkhand,JH,India,IN
112272,Brahmapur,Odisha,OR,India,IN
112643,Bodhgaya,Bihar,BR,India,IN
112649,Bogmallo,Goa,GA,India,IN
112868,Calangute,Goa,GA,India,IN
112913,Caranzalem,Goa,GA,India,IN
113081,Bundi,Rajasthan,RJ,India,IN
113128,Kolkata,West Bengal,WB,India,IN
113160,Canacona,Goa,GA,India,IN
113347,Cansaulim Beach,Goa,GA,India,IN
113566,Cauvery,Karnataka,KA,India,IN
113675,Chail,Himachal Pradesh,HP,India,IN
113683,Changanassery,Kerala,KL,India,IN
114107,Chandigarh,Chandigarh,CH,India,IN
114117,Charholi Budruk,Maharashtra,MH,India,IN
114272,Chiplun,Maharashtra,MH,India,IN
114326,Cochin,KERALA,KL,India,IN
114357,Chinakakani,Andhra Pradesh,AP,India,IN
114523,Cherai,Kerala,KL,India,IN
114554,Churu,Rajasthan,RJ,India,IN
114566,Cavelossim,Goa,GA,India,IN
114601,Chakan,Maharashtra,MH,India,IN
114660,Chinnakanal,Kerala,KL,India,IN
114703,Chamba,Himachal Pradesh,HP,India,IN
114758,Choglamsar,Jammu And Kashmir,JK,India,IN
114793,Chidambaram,Tamil Nadu,TN,India,IN
114801,Chintpuri,Himachal Pradesh,HP,India,IN
114803,Chitrakoot,Madhya Pradesh,MP,India,IN
114804,Chittaurgarh,Rajasthan,RJ,India,IN
114811,Chorao Island,Goa,GA,India,IN
114817,Chowara,Kerala,KL,India,IN
114823,Chundale,Kerala,KL,India,IN
114936,Chamoli,Uttarakhand,UK,India,IN
114960,Chaukori,Uttarakhand,UK,India,IN
114977,Chhota Udaipur,Gujrat,GJ,India,IN
114986,Chikkamagaluru,Karnataka,KA,India,IN
114987,Chikmaglur,Karnataka,KA,India,IN
115176,Dahej,Gujarat,GJ,India,IN
115400,Coorg,Karnataka,KA,India,IN
115501,Corbett-Nationalpark,Uttarakhand,UK,India,IN
115526,Covelong,Tamil Nadu,TN,India,IN
115634,Dapoli,Maharashtra,MH,India,IN
115840,Colva,Goa,GA,India,IN
115864,Coonoor,Tamil Nadu,TN,India,IN
115880,Dharamshala,HIMACHAL PRADESH,HP,India,IN
115881,Dholpur,Rajasthan,RJ,India,IN
115884,Dibrugarh,Assam,AS,India,IN
115894,Digha,West Bengal,WB,India,IN
115896,Dimapur,Nagaland,NL,India,IN
115899,Diu,Gujarat,GJ,India,IN
115958,Durgapur,West Bengal,WB,India,IN
116021,Cuttack,Orissa,OR,India,IN
116035,Daman,Daman and Diu,DD,India,IN
116039,Dandeli,Karnataka,KA,India,IN
116074,Deogarh,Rajasthan,RJ,India,IN
116087,Dhule,Maharashtra,MH,India,IN
116164,Dehradun,Uttarakhand,UK,India,IN
116264,Darjeeling,West Bengal,WB,India,IN
116338,Dhikuli,Uttarakhand ,UK,India,IN
116460,Dundlod,Rajasthan,RJ,India,IN
116604,Dabolim,Goa,GA,India,IN
116613,Dalhousie,Himachal Pradesh,HP,India,IN
116624,Dankuni,West Bengal,WB,India,IN
117048,Durg,Chhattisgarh,CT,India,IN
117110,Edava,Kerala,KL,India,IN
117352,Devikulam,Kerala,KL,India,IN
117771,Fatehpur Sikri,Uttar Pradesh,UP,India,IN
117993,Gandhidham,Gujarat,GJ,India,IN
118129,Faridabad,Haryana,HR,India,IN
118719,Glenburn,West Bengal,WB,India,IN
118733,Gokarna,Karnataka,KA,India,IN
118805,Fatehgarh,Uttar Pradesh,UP,India,IN
118973,Ghaziabad,Uttar Pradesh,UP,India,IN
119071,Gandhinagar,Gujarat,GJ,India,IN
119221,Gangtok,Sikkim,SK,India,IN
119222,Ganpatipule,Maharashtra,MH,India,IN
119358,Gaya,Bihar,BR,India,IN
119513,Gurugram,Haryana ,HR,India,IN
119517,Guruvayur,Kerala,KL,India,IN
119613,Gangotri,Uttarakhand,UK,India,IN
119805,Goa,GOA,GA,India,IN
119924,Gulmarg,Jammu and Kashmir,JK,India,IN
119961,Hansi,Haryana,HR,India,IN
119978,Havelock Island,Andaman & Nicobar,AN,India,IN
120206,Hanumangarh,Rajasthan,RJ,India,IN
120368,Gopalpur on Sea,Odisha,OR,India,IN
120370,Gorai Beach,Maharashtra,MH,India,IN
120371,Gorakhpur,Uttar Pradesh,UP,India,IN
120439,Gwalior,Madhya Pradesh,MP,India,IN
120588,Haldwani,Uttarakhand,UK,India,IN
120871,Hassan,Karnataka,KA,India,IN
121139,Guwahati,Assam,AS,India,IN
121175,Hampi,Karnataka,KA,India,IN
121186,Haridwar,Uttarakhand,UK,India,IN
121290,Hosur,KARNATAKA,KA,India,IN
121355,Hinjawadi,Maharashtra ,MH,India,IN
121396,Hosapete,Karnataka,KA,India,IN
121509,Jabalpur,Madhya Pradesh,MP,India,IN
121557,Hoshiarpur,Punjab,PB,India,IN
121570,Hudikeri,Karnataka,KA,India,IN
121726,Indore,Madhya Pradesh,MP,India,IN
121783,Jammu,Jammu and Kashmir,JK,India,IN
121837,Kalpetta,Kerala,KL,India,IN
121841,Kamba,Gujrat,GJ,India,IN
121984,Igatpuri,Maharashtra,MH,India,IN
122108,Imphal,Manipur,MN,India,IN
122175,Jaipur,Rajasthan,RJ,India,IN
122177,Jalgaon,Maharashtra,MH,India,IN
122199,Jhansi,Uttar Pradesh,UP,India,IN
122215,Jorhat,Assam,AS,India,IN
122253,Kandaghat,Himachal Pradesh,HP,India,IN
122256,Kanniyakumari,Tamil Nadu,TN,India,IN
122275,Karnal,Haryana,HR,India,IN
122326,Jaisalmer,Rajasthan,RJ,India,IN
122327,Jalandhar,Punjab,PB,India,IN
122328,Jalpaiguri,West Bengal,WB,India,IN
122329,Jamnagar,Gujarat,GJ,India,IN
122370,Junagarh,Gujrat,GJ,India,IN
122388,Kaliel,Tamil Nadu,TN,India,IN
122406,Kanadukathan,Tamil Nadu,TN,India,IN
122511,Kalimpong,West Bengal,WB,India,IN
122522,Kannur,Kerala,KL,India,IN
122525,Kappad,Kerala,KL,India,IN
122580,Khajuraho,Madhya Pradesh,MP,India,IN
122732,Itanagar,Arunachal Pradesh,AP,India,IN
122763,Jeypore,Odisha,OR,India,IN
122798,Kutch,Gujrat,GJ,India,IN
122824,Kanchipuram,Tamil Nadu,TN,India,IN
122826,Kangra Valley,Himachal Pradesh,HP,India,IN
122848,Kasargod,Kerala,KL,India,IN
122931,Kanha,Madhya Pradesh,MP,India,IN
122932,Kanpur,Uttar Pradesh,UP,India,IN
122938,Kargil,Jammu and Kashmir,JK,India,IN
122950,Kasauli,Himachal Pradesh,HP,India,IN
122978,Kerala,Kerala,KL,India,IN
122998,Khilchipur,Madhya Pradesh,MP,India,IN
123084,Kanyakumari,Tamil Nadu,TN,India,IN
123098,Karwar,Karnataka,KA,India,IN
123108,Kathgodam,Uttarakhand ,UK,India,IN
123204,Karaikudi,Tamil Nadu,TN,India,IN
123217,Karur,Tamil Nadu,TN,India,IN
123218,Kasarde,Maharashtra,MH,India,IN
123227,Kausani,Uttarakhand,UK,India,IN
123231,Kedarnath,Uttarakhand,UK,India,IN
